
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999823, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999824, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999825, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999826, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999827, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999828, Num Errors Improved = 0, DFR =  9.999982e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999829, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999830, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999831, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999832, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999833, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999834, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999835, Num Errors Improved = 0, DFR =  9.999983e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999836, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999837, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999838, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999839, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999840, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999841, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
