t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999946, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999947, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999948, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999949, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999950, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999951, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999952, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999953, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999954, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999955, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999956, Num Errors Improved = 0, DFR =  9.999995e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999957, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999958, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999959, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999960, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999961, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999962, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999963, Num Errors Improved = 0, DFR =  9.999996e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999964, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999965, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999966, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999967, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999968, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999969, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999970, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999971, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999972, Num Errors Improved = 0, DFR =  9.999997e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999973, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999974, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999975, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999976, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999977, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999978, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999979, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999980, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999981, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999982, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999983, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999984, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
