
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999725, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999726, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999727, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999728, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999729, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999730, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999731, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999732, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999733, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999734, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999735, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999736, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999737, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999738, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999739, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999740, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999741, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
