
t = 71, u = 71, Num Tx = 10000, Num Errors = 9993, Num Errors Improved = 0, Num Errors Half = 4964, DFR =  4.964000e-01, DFR Improved = 9.993000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9994, Num Errors Improved = 0, Num Errors Half = 4965, DFR =  4.965000e-01, DFR Improved = 9.994000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9995, Num Errors Improved = 0, Num Errors Half = 4965, DFR =  4.965000e-01, DFR Improved = 9.995000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9996, Num Errors Improved = 0, Num Errors Half = 4965, DFR =  4.965000e-01, DFR Improved = 9.996000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9997, Num Errors Improved = 0, Num Errors Half = 4966, DFR =  4.966000e-01, DFR Improved = 9.997000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9998, Num Errors Improved = 0, Num Errors Half = 4966, DFR =  4.966000e-01, DFR Improved = 9.998000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 9999, Num Errors Improved = 0, Num Errors Half = 4967, DFR =  4.967000e-01, DFR Improved = 9.999000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 71, Num Tx = 10000, Num Errors = 10000, Num Errors Improved = 0, Num Errors Half = 4968, DFR =  4.968000e-01, DFR Improved = 1.000000e+00, DFR Half = 0.000000e+00 (2026-01-21 11:19:41)
t = 71, u = 70, Num Tx = 10000, Num Errors = 9993, Num Errors Improved = 0, Num Errors Half = 5010, DFR =  5.010000e-01, DFR Improved = 9.993000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:20:06)
t = 71, u = 70, Num Tx = 10000, Num Errors = 9994, Num Errors Improved = 0, Num Errors Half = 5011, DFR =  5.011000e-01, DFR Improved = 9.994000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:20:06)
t = 71, u = 70, Num Tx = 10000, Num Errors = 9995, Num Errors Improved = 0, Num Errors Half = 5012, DFR =  5.012000e-01, DFR Improved = 9.995000e-01, DFR Half = 0.000000e+00 (2026-01-21 11:20:06)
