
t = 250, Num Tx = 37, Num Errors = 41, Num Errors Improved = 41, DFR =  8.913044e-01, DFR Improved = 8.913044e-01  (2026-01-21 10:34:14)
t = 250, Num Tx = 41, Num Errors = 42, Num Errors Improved = 42, DFR =  9.130435e-01, DFR Improved = 9.130435e-01  (2026-01-21 10:34:14)
t = 250, Num Tx = 43, Num Errors = 43, Num Errors Improved = 43, DFR =  9.347826e-01, DFR Improved = 9.347826e-01  (2026-01-21 10:34:14)
t = 250, Num Tx = 44, Num Errors = 44, Num Errors Improved = 44, DFR =  9.565217e-01, DFR Improved = 9.565217e-01  (2026-01-21 10:34:14)
t = 250, Num Tx = 45, Num Errors = 45, Num Errors Improved = 45, DFR =  9.782609e-01, DFR Improved = 9.782609e-01  (2026-01-21 10:34:14)
t = 250, Num Tx = 42, Num Errors = 46, Num Errors Improved = 46, DFR =  1.000000e+00, DFR Improved = 1.000000e+00  (2026-01-21 10:34:14)
t = 249, Num Tx = 2, Num Errors = 1, Num Errors Improved = 1, DFR =  1.250000e-01, DFR Improved = 1.250000e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 4, Num Errors = 2, Num Errors Improved = 2, DFR =  2.222222e-01, DFR Improved = 2.222222e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 5, Num Errors = 3, Num Errors Improved = 3, DFR =  3.333333e-01, DFR Improved = 3.333333e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 1, Num Errors = 4, Num Errors Improved = 4, DFR =  4.444444e-01, DFR Improved = 4.444444e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 3, Num Errors = 5, Num Errors Improved = 5, DFR =  5.555556e-01, DFR Improved = 5.555556e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 0, Num Errors = 6, Num Errors Improved = 6, DFR =  6.666667e-01, DFR Improved = 6.666667e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 7, Num Errors = 7, Num Errors Improved = 7, DFR =  5.000000e-01, DFR Improved = 5.000000e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 6, Num Errors = 8, Num Errors Improved = 8, DFR =  5.333334e-01, DFR Improved = 5.333334e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 8, Num Errors = 9, Num Errors Improved = 9, DFR =  5.625000e-01, DFR Improved = 5.625000e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 11, Num Errors = 10, Num Errors Improved = 10, DFR =  5.882353e-01, DFR Improved = 5.882353e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 9, Num Errors = 11, Num Errors Improved = 11, DFR =  6.111111e-01, DFR Improved = 6.111111e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 12, Num Errors = 12, Num Errors Improved = 12, DFR =  6.666667e-01, DFR Improved = 6.666667e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 13, Num Errors = 13, Num Errors Improved = 13, DFR =  6.500000e-01, DFR Improved = 6.500000e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 10, Num Errors = 14, Num Errors Improved = 14, DFR =  6.666667e-01, DFR Improved = 6.666667e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 16, Num Errors = 15, Num Errors Improved = 15, DFR =  6.818182e-01, DFR Improved = 6.818182e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 17, Num Errors = 16, Num Errors Improved = 16, DFR =  6.956522e-01, DFR Improved = 6.956522e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 19, Num Errors = 17, Num Errors Improved = 17, DFR =  7.083333e-01, DFR Improved = 7.083333e-01  (2026-01-21 10:34:14)
t = 249, Num Tx = 18, Num Errors = 18, Num Errors Improved = 18, DFR =  7.200000e-01, DFR Improved = 7.200000e-01  (2026-01-21 10:34:14)
